code,description,active
99283,Emergency department visit - Level 3,1
99284,Emergency department visit - Level 4,1
99285,Emergency department visit - Level 5,1
99213,Office visit - Level 3,1
99214,Office visit - Level 4,1
99215,Office visit - Level 5,1


